ID,Title,Link,titleSlug,Approach,Difficulty,Topics
759,Employee Free Time,Employee Free Time,employee-free-time,,Hard,"Heap, Greedy, "
765,Couples Holding Hands,Couples Holding Hands,couples-holding-hands,,Hard,"Greedy, Union Find, Graph, "
769,Max Chunks To Make Sorted,Max Chunks To Make Sorted,max-chunks-to-make-sorted,,Hard,"Array, "
771,Jewels and Stones,Jewels and Stones,jewels-and-stones,,Hard,"Hash Table, "
774,Minimize Max Distance to Gas Station,Minimize Max Distance to Gas Station,minimize-max-distance-to-gas-station,,Hard,"Binary Search, "
778,Swim in Rising Water,Swim in Rising Water,swim-in-rising-water,,Hard,"Binary Search, Heap, Depth-first Search, Union Find, "
785,Is Graph Bipartite?,Is Graph Bipartite?,is-graph-bipartite,,Hard,"Depth-first Search, Breadth-first Search, Graph, "
797,All Paths From Source to Target,All Paths From Source to Target,all-paths-from-source-to-target,,Hard,
798,Smallest Rotation with Highest Score,Smallest Rotation with Highest Score,smallest-rotation-with-highest-score,,Hard,
818,Race Car,Race Car,race-car,,Hard,"Dynamic Programming, Heap, "
823,Binary Trees With Factors,Binary Trees With Factors,binary-trees-with-factors,,Hard,
828,Count Unique Characters of All Substrings of a Given String,Count Unique Characters of All Substrings of a Given String,count-unique-characters-of-all-substrings-of-a-given-string,,Hard,"Two Pointers, "
832,Flipping an Image,Flipping an Image,flipping-an-image,,Hard,"Array, "
838,Push Dominoes,Push Dominoes,push-dominoes,,Hard,"Two Pointers, Dynamic Programming, "
846,Hand of Straights,Hand of Straights,hand-of-straights,,Hard,"Ordered Map, "
847,Shortest Path Visiting All Nodes,Shortest Path Visiting All Nodes,shortest-path-visiting-all-nodes,,Hard,"Dynamic Programming, Breadth-first Search, "
849,Maximize Distance to Closest Person,Maximize Distance to Closest Person,maximize-distance-to-closest-person,,Hard,"Array, "
850,Rectangle Area II,Rectangle Area II,rectangle-area-ii,,Hard,"Segment Tree, Line Sweep, "
854,K-Similar Strings,K-Similar Strings,k-similar-strings,,Hard,"Breadth-first Search, Graph, "
857,Minimum Cost to Hire K Workers,Minimum Cost to Hire K Workers,minimum-cost-to-hire-k-workers,,Hard,"Heap, "
860,Lemonade Change,Lemonade Change,lemonade-change,,Hard,"Greedy, "
875,Koko Eating Bananas,Koko Eating Bananas,koko-eating-bananas,,Hard,"Binary Search, "
