ID,Title,Link,titleSlug,Approach,Difficulty,Topics
494,Target Sum,Target Sum,target-sum,,Easy,"Dynamic Programming, Depth-first Search, "
503,Next Greater Element II,Next Greater Element II,next-greater-element-ii,,Easy,"Stack, "
505,The Maze II,The Maze II,the-maze-ii,,Easy,"Depth-first Search, Breadth-first Search, "
514,Freedom Trail,Freedom Trail,freedom-trail,,Easy,"Depth-first Search, Breadth-first Search, "
515,Find Largest Value in Each Tree Row,Find Largest Value in Each Tree Row,find-largest-value-in-each-tree-row,,Easy,"Tree, Depth-first Search, Breadth-first Search, "
518,Coin Change 2,Coin Change 2,coin-change-2,,Easy,
525,Contiguous Array,Contiguous Array,contiguous-array,,Easy,"Hash Table, "
530,Minimum Absolute Difference in BST,Minimum Absolute Difference in BST,minimum-absolute-difference-in-bst,,Easy,"Tree, "
538,Convert BST to Greater Tree,Convert BST to Greater Tree,convert-bst-to-greater-tree,,Easy,"Tree, "
540,Single Element in a Sorted Array,Single Element in a Sorted Array,single-element-in-a-sorted-array,,Easy,
542,01 Matrix,01 Matrix,01-matrix,,Easy,"Divide and Conquer, Dynamic Programming, Depth-first Search, "
543,Diameter of Binary Tree,Diameter of Binary Tree,diameter-of-binary-tree,,Easy,"Tree, "
547,Friend Circles,Friend Circles,friend-circles,,Easy,"Depth-first Search, Union Find, "
549,Binary Tree Longest Consecutive Sequence II,Binary Tree Longest Consecutive Sequence II,binary-tree-longest-consecutive-sequence-ii,,Easy,"Tree, "
554,Brick Wall,Brick Wall,brick-wall,,Easy,"Hash Table, "
559,Maximum Depth of N-ary Tree,Maximum Depth of N-ary Tree,maximum-depth-of-n-ary-tree,,Easy,"Tree, Depth-first Search, Breadth-first Search, "
560,Subarray Sum Equals K,Subarray Sum Equals K,subarray-sum-equals-k,,Easy,"Array, Hash Table, "
567,Permutation in String,Permutation in String,permutation-in-string,,Easy,"Two Pointers, Sliding Window, "
572,Subtree of Another Tree,Subtree of Another Tree,subtree-of-another-tree,,Easy,"Tree, "
581,Shortest Unsorted Continuous Subarray,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,,Easy,"Array, "
582,Kill Process,Kill Process,kill-process,,Easy,"Tree, Queue, "
583,Delete Operation for Two Strings,Delete Operation for Two Strings,delete-operation-for-two-strings,,Easy,"String, "
